Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Harrison Barnes,SAS,CHO,L,22.3,4,9,0.444,0,4,0.0,0,0,0.0,3,1,4,2,1,0,0,0,8,8.1,2025-02-07
Paul George,PHI,DET,L,30.1,6,10,0.6,2,3,0.667,0,0,0.0,0,1,1,0,1,0,1,4,14,8.1,2025-02-07
Carlton Carrington,WAS,CLE,L,35.82,5,9,0.556,3,6,0.5,0,0,0.0,1,3,4,3,0,0,4,1,13,8.0,2025-02-07
Orlando Robinson,TOR,OKC,L,17.3,2,6,0.333,0,1,0.0,2,2,1.0,3,2,5,4,0,0,0,1,6,7.7,2025-02-07
Svi Mykhailiuk,UTA,PHO,L,23.27,2,9,0.222,2,8,0.25,3,4,0.75,2,1,3,3,1,0,0,1,9,7.5,2025-02-07
Zaccharie Risacher,ATL,MIL,W,20.48,6,10,0.6,1,4,0.25,0,0,0.0,1,2,3,0,0,0,1,3,13,7.5,2025-02-07
Ochai Agbaji,TOR,OKC,L,29.75,2,10,0.2,1,7,0.143,3,4,0.75,2,6,8,1,2,0,0,1,8,6.9,2025-02-07
Tidjane Salaün,CHO,SAS,W,17.98,3,4,0.75,2,2,1.0,0,0,0.0,1,4,5,0,0,1,1,3,8,6.8,2025-02-07
Chris Boucher,TOR,OKC,L,15.35,4,9,0.444,3,7,0.429,0,0,0.0,1,1,2,0,0,0,0,3,11,6.1,2025-02-07
Chet Holmgren,OKC,TOR,W,22.03,2,5,0.4,0,1,0.0,0,0,0.0,0,5,5,1,2,4,1,3,4,6.1,2025-02-07
Tristan Vukcevic,WAS,CLE,L,16.42,3,7,0.429,1,3,0.333,0,0,0.0,0,4,4,4,1,0,1,3,7,6.1,2025-02-07
Corey Kispert,WAS,CLE,L,27.85,4,10,0.4,2,5,0.4,0,0,0.0,3,1,4,0,0,0,1,0,10,6.0,2025-02-07
Dominick Barlow,ATL,MIL,W,20.17,3,4,0.75,1,2,0.5,0,0,0.0,1,3,4,0,0,1,1,2,7,5.9,2025-02-07
Simone Fontecchio,DET,PHI,W,18.83,3,10,0.3,2,8,0.25,2,2,1.0,1,4,5,2,0,1,2,1,10,5.8,2025-02-07
Immanuel Quickley,TOR,OKC,L,27.52,2,5,0.4,1,3,0.333,1,2,0.5,2,2,4,10,0,0,5,3,6,5.7,2025-02-07
Marcus Sasser,DET,PHI,W,28.25,3,9,0.333,2,5,0.4,1,2,0.5,0,0,0,5,2,0,2,4,9,5.4,2025-02-07
