Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Andrew Nembhard,IND,LAC,W,31.08,2,9,0.222,0,3,0.0,0,0,0.0,2,1,3,2,2,0,1,2,4,1.8,2025-02-06
Hunter Tyson,DEN,ORL,W,10.63,2,4,0.5,2,4,0.5,1,2,0.5,0,2,2,0,0,0,3,1,7,1.8,2025-02-06
Trey Alexander,DEN,ORL,W,4.83,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,1.3,2025-02-06
Nicolas Batum,LAC,IND,L,11.73,0,2,0.0,0,2,0.0,0,0,0.0,1,1,2,0,1,1,0,0,0,1.3,2025-02-06
Gary Payton II,GSW,LAL,L,8.08,1,4,0.25,0,3,0.0,1,1,1.0,0,1,1,1,1,0,1,1,3,1.2,2025-02-06
Reed Sheppard,HOU,MIN,L,17.28,1,5,0.2,1,5,0.2,0,0,0.0,1,1,2,2,2,1,3,2,3,1.2,2025-02-06
Zeke Nnaji,DEN,ORL,W,20.57,1,7,0.143,1,4,0.25,0,0,0.0,2,4,6,0,1,1,1,2,3,1.0,2025-02-06
Jett Howard,ORL,DEN,L,14.2,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,1,0,0,1,0,3,0.9,2025-02-06
Luka Garza,MIN,HOU,W,2.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,0.6,2025-02-06
Trayce Jackson-Davis,GSW,LAL,L,4.67,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,0.6,2025-02-06
Jonathan Isaac,ORL,DEN,L,11.75,0,3,0.0,0,2,0.0,0,0,0.0,0,4,4,0,0,2,0,0,0,0.5,2025-02-06
Caleb Houstan,ORL,DEN,L,7.47,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,0.2,2025-02-06
Devin Carter,SAC,POR,L,8.32,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,-0.1,2025-02-06
Cole Anthony,ORL,DEN,L,21.75,2,8,0.25,0,2,0.0,1,2,0.5,1,1,2,3,1,0,3,3,5,-0.3,2025-02-06
